Site,Month,Year,Harbour,Grey
Chichester,1,1999,1,0
Chichester,2,1999,2,0
Chichester,3,1999,4,0
Chichester,4,1999,6,0
Chichester,5,1999,5,0
Chichester,6,1999,5,0
Chichester,7,1999,6,0
Chichester,8,1999,6,0
Chichester,9,1999,7,0
Chichester,10,1999,7,0
Chichester,11,1999,8,0
Chichester,12,1999,7,0
Chichester,1,2000,1,0
Chichester,2,2000,8,0
Chichester,3,2000,8,0
Chichester,4,2000,8,0
Chichester,5,2000,7,0
Chichester,6,2000,6,0
Chichester,7,2000,6,0
Chichester,8,2000,7,0
Chichester,9,2000,9,0
Chichester,10,2000,7,0
Chichester,11,2000,7,0
Chichester,12,2000,5,0
Chichester,1,2001,4,0
Chichester,2,2001,8,0
Chichester,3,2001,10,0
Chichester,4,2001,10,0
Chichester,5,2001,7,0
Chichester,6,2001,7,0
Chichester,7,2001,7,0
Chichester,8,2001,9,0
Chichester,9,2001,9,0
Chichester,10,2001,6,0
Chichester,11,2001,7,0
Chichester,12,2001,5,0
Chichester,1,2002,6,0
Chichester,2,2002,5,0
Chichester,3,2002,9,0
Chichester,4,2002,9,0
Chichester,5,2002,8,0
Chichester,6,2002,8,0
Chichester,7,2002,7,0
Chichester,8,2002,10,0
Chichester,9,2002,11,0
Chichester,10,2002,10,0
Chichester,11,2002,10,0
Chichester,12,2002,8,0
Chichester,1,2003,7,0
Chichester,2,2003,10,0
Chichester,3,2003,12,0
Chichester,4,2003,13,0
Chichester,5,2003,11,0
Chichester,6,2003,11,0
Chichester,7,2003,9,0
Chichester,8,2003,11,0
Chichester,9,2003,14,0
Chichester,10,2003,14,0
Chichester,11,2003,9,0
Chichester,12,2003,5,0
Chichester,1,2004,13,0
Chichester,2,2004,6,0
Chichester,3,2004,14,0
Chichester,4,2004,13,0
Chichester,5,2004,12,0
Chichester,6,2004,11,0
Chichester,7,2004,8,0
Chichester,8,2004,12,0
Chichester,9,2004,11,0
Chichester,10,2004,11,0
Chichester,11,2004,7,0
Chichester,12,2004,6,0
Chichester,1,2005,7,0
Chichester,2,2005,7,0
Chichester,3,2005,10,0
Chichester,4,2005,12,0
Chichester,5,2005,13,0
Chichester,6,2005,12,0
Chichester,7,2005,11,0
Chichester,8,2005,10,0
Chichester,9,2005,11,0
Chichester,10,2005,11,0
Chichester,11,2005,10,0
Chichester,12,2005,10,0
Chichester,1,2006,7,0
Chichester,2,2006,6,0
Chichester,3,2006,14,0
Chichester,4,2006,13,0
Chichester,5,2006,13,0
Chichester,6,2006,10,0
Chichester,7,2006,9,0
Chichester,8,2006,12,0
Chichester,9,2006,13,0
Chichester,10,2006,10,0
Chichester,11,2006,7,0
Chichester,12,2006,11,0
Chichester,1,2007,11,0
Chichester,3,2007,14,0
Chichester,4,2007,15,0
Chichester,5,2007,12,0
Chichester,6,2007,12,0
Chichester,7,2007,11,0
Chichester,8,2007,14,0
Chichester,9,2007,13,0
Chichester,10,2007,11,0
Chichester,11,2007,10,0
Chichester,12,2007,7,0
Chichester,1,2008,15,0
Chichester,2,2008,7,0
Chichester,3,2008,14,0
Chichester,4,2008,16,0
Chichester,5,2008,13,0
Chichester,6,2008,12,0
Chichester,7,2008,12,1
Chichester,8,2008,14,1
Chichester,9,2008,11,0
Chichester,10,2008,11,0
Chichester,11,2008,10,0
Chichester,12,2008,9,0
Chichester,1,2009,6,0
Chichester,2,2009,9,0
Chichester,3,2009,16,2
Chichester,4,2009,15,0
Chichester,5,2009,12,0
Chichester,6,2009,13,0
Chichester,7,2009,14,0
Chichester,8,2009,14,1
Chichester,9,2009,12,0
Chichester,10,2009,12,0
Chichester,11,2009,12,0
Chichester,12,2009,13,0
Chichester,1,2010,9,0
Chichester,2,2010,8,0
Chichester,3,2010,16,1
Chichester,4,2010,16,0
Chichester,5,2010,13,0
Chichester,6,2010,13,1
Chichester,7,2010,15,1
Chichester,8,2010,17,1
Chichester,9,2010,16,1
Chichester,10,2010,12,0
Chichester,11,2010,14,0
Chichester,12,2010,9,0
Chichester,1,2011,7,0
Chichester,2,2011,11,0
Chichester,3,2011,14,0
Chichester,4,2011,17,0
Chichester,5,2011,18,0
Chichester,6,2011,15,0
Chichester,7,2011,19,0
Chichester,8,2011,19,0
Chichester,9,2011,15,0
Chichester,10,2011,15,0
Chichester,11,2011,8,0
Chichester,12,2011,12,0
Chichester,1,2012,10,0
Chichester,2,2012,11,0
Chichester,3,2012,17,0
Langstone,2,2009,5,0
Langstone,3,2009,7,0
Langstone,4,2009,5,0
Langstone,5,2009,6,0
Langstone,6,2009,3,0
Langstone,7,2009,5,0
Langstone,8,2009,6,0
Langstone,9,2009,7,0
Langstone,10,2009,6,0
Langstone,11,2009,5,0
Langstone,12,2009,3,0
Langstone,1,2010,4,0
Langstone,2,2010,5,0
Langstone,3,2010,8,0
Langstone,4,2010,5,0
Langstone,5,2010,6,0
Langstone,6,2010,5,0
Langstone,7,2010,6,0
Langstone,8,2010,5,0
Langstone,9,2010,7,0
Langstone,10,2010,5,0
Langstone,11,2010,5,0
Langstone,12,2010,3,0
Langstone,1,2011,5,0
Langstone,2,2011,3,0
Langstone,3,2011,8,0
Langstone,4,2011,8,0
Langstone,5,2011,4,0
Langstone,6,2011,6,0
Langstone,7,2011,5,0
Langstone,8,2011,5,0
Langstone,9,2011,5,0
Langstone,10,2011,3,0
Langstone,11,2011,1,0
Langstone,12,2011,3,0
Langstone,1,2012,5,0
Langstone,2,2012,4,0
Langstone,3,2012,2,0
Langstone,4,2012,3,0
Langstone,5,2012,3,0
Langstone,6,2012,4,0
Langstone,7,2012,4,0
Langstone,8,2012,4,0
Langstone,9,2012,4,0
Langstone,10,2012,3,0
Langstone,12,2012,2,0
Langstone,1,2013,3,0
Langstone,2,2013,4,0
Langstone,3,2013,4,0
Langstone,4,2013,3,0
Langstone,5,2013,3,0
Langstone,6,2013,4,0
Langstone,7,2013,3,0
Langstone,8,2013,5,0
Langstone,9,2013,2,0
Langstone,10,2013,4,0
Langstone,11,2013,2,0
Langstone,1,2014,4,0
Langstone,2,2014,4,0
Langstone,3,2014,6,0
Langstone,4,2014,8,0
Langstone,5,2014,5,0
Langstone,6,2014,6,0
Langstone,7,2014,5,0
Langstone,8,2014,4,0
Langstone,9,2014,9,0
Langstone,10,2014,1,0
Langstone,11,2014,3,0
Langstone,12,2014,4,0
Langstone,7,2015,4,2
Langstone,8,2015,0,0
Langstone,9,2015,3,0
Langstone,6,2016,3,1
Langstone,7,2016,4,0
Langstone,8,2016,3,0
Langstone,9,2016,3,0
Langstone,6,2017,5,0
Langstone,7,2017,3,2
Langstone,8,2017,0,0
Langstone,9,2017,4,0
Chichester,7,2015,22,0
Chichester,8,2015,20,0
Chichester,9,2015,27,5
Chichester,6,2016,19,5
Chichester,7,2016,33,5
Chichester,8,2016,36,5
Chichester,9,2016,11,2
Chichester,6,2017,29,7
Chichester,7,2017,43,4
Chichester,8,2017,46,8
Chichester,9,2017,18,6
Chichester,3,2018,19,2
Chichester,6,2018,24,11
Chichester,7,2018,38,7
Chichester,8,2018,35,10
Chichester,9,2018,29,9
Chichester,5,2019,29,10
Chichester,6,2019,23,9
Chichester,6,2019,23,9
Chichester,7,2019,34,9
Chichester,7,2019,43,14
Chichester,8,2019,38,19
Chichester,8,2019,31,16
Chichester,9,2019,23,10
Langstone,5,2019,0,0
Langstone,6,2019,7,1
Langstone,6,2019,4,1
Langstone,7,2019,4,2
Langstone,7,2019,4,2
Langstone,8,2019,3,1
Langstone,8,2019,7,2
Langstone,9,2019,3,1
